SubtitleIndex,OriginalWPM,OriginalCPM,OriginalRowCount,OriginalCharactersPerRow,TranslationWPM,TranslationCPM,TranslationRowCount,TranslationCharactersPerRow,isOriginalWPMGood,isOriginalCPSGood,isOriginalRowCountGood,isOriginalCharacterCountGood,isTranslationWPMGood,isTranslationCPSGood,isTranslationRowCountGood,isTranslationCharacterCountGood,isOriginalGoodWPM,isTranslationGoodWPM,isOriginalGoodCPS,isTranslationGoodCPS
233,120.0,8.0,1,8,120.0,11.0,1,11,True,True,True,True,True,True,True,True,True,True,True,True
234,179.748,13.781,1,23,215.698,15.578,1,26,True,True,True,True,False,True,True,True,True,False,True,True
235,244.233,18.996,1,42,162.822,20.353,2,45,False,False,True,False,False,False,True,True,False,False,False,False
236,84.626,6.347,1,9,84.626,8.463,1,12,True,True,True,True,True,True,True,True,True,True,True,True
237,60.0,6.0,1,6,60.0,7.0,1,7,True,True,True,True,True,True,True,True,True,True,True,True
238,232.019,19.335,1,25,46.404,6.961,1,9,False,False,True,True,True,True,True,True,False,True,False,True
239,106.572,14.21,1,16,106.572,13.321,1,15,True,True,True,True,True,True,True,True,True,True,True,True
240,190.641,17.909,2,62,173.31,19.064,2,66,False,False,True,True,False,False,True,True,False,False,False,False
241,106.572,8.881,1,10,53.286,5.329,1,6,True,True,True,True,True,True,True,True,True,True,True,True
242,142.416,14.954,2,63,99.691,13.292,2,56,True,True,True,True,True,True,True,True,True,True,True,True
243,112.835,10.813,2,46,98.731,13.634,2,58,True,True,True,True,True,True,True,True,True,True,True,True
244,159.817,17.884,2,47,136.986,16.362,2,43,True,False,True,True,True,True,True,True,True,True,False,True
245,179.748,14.38,1,24,143.799,17.376,1,29,True,True,True,True,True,False,True,True,True,True,True,False
246,163.885,15.781,2,52,163.885,17.299,2,57,True,True,True,False,False,False,True,True,False,False,False,False
247,135.716,14.703,2,65,108.573,12.441,2,55,True,True,True,False,True,True,True,True,False,True,False,True
248,130.814,11.265,1,31,109.012,8.721,1,24,True,True,True,True,True,True,True,True,True,True,True,True
249,225.67,18.336,1,39,225.67,19.746,2,42,False,False,True,False,False,False,True,True,False,False,False,False
250,232.019,19.722,2,51,208.817,17.788,2,46,False,False,True,True,False,False,True,True,False,False,False,False
251,222.442,19.525,2,79,222.442,22.986,2,93,False,False,True,False,False,False,True,False,False,False,False,False
252,139.211,7.734,1,10,139.211,10.054,1,13,True,True,True,True,True,True,True,True,True,True,True,True
253,187.598,19.802,1,38,156.331,21.365,2,41,False,False,True,False,False,False,True,True,False,False,False,False
254,99.201,12.4,2,45,115.734,13.778,2,50,True,True,True,True,True,True,True,True,True,True,True,True
255,60.0,6.0,1,6,60.0,8.0,1,8,True,True,True,True,True,True,True,True,True,True,True,True
256,197.461,17.395,1,37,169.252,17.395,2,37,False,False,True,True,False,False,True,True,False,False,False,False
257,199.867,21.319,1,32,239.84,21.319,1,32,False,False,True,True,False,False,True,True,False,False,False,False
258,185.615,13.148,1,34,139.211,10.441,1,27,False,True,True,True,True,True,True,True,False,True,True,True
259,169.252,13.634,1,29,141.044,11.754,1,25,True,True,True,True,True,True,True,True,True,True,True,True
260,253.879,19.746,1,28,169.252,15.515,1,22,False,False,True,True,False,True,True,True,False,False,False,True
261,202.323,19.108,2,51,157.362,16.86,2,45,False,False,True,True,False,True,True,True,False,False,False,True
262,215.827,16.787,1,14,215.827,22.782,1,19,False,True,True,True,False,False,True,True,False,False,True,False
263,195.122,17.073,1,42,146.341,14.228,1,35,False,False,True,False,True,True,True,True,False,True,False,True
264,267.708,21.194,1,38,200.781,20.636,2,37,False,False,True,False,False,False,True,True,False,False,False,False
265,222.898,21.614,2,64,202.634,18.913,2,56,False,False,True,False,False,False,True,True,False,False,False,False
266,225.67,19.746,1,42,225.67,18.806,2,40,False,False,True,False,False,False,True,True,False,False,False,False
267,180.0,13.0,1,13,60.0,6.0,1,6,True,True,True,True,True,True,True,True,True,True,True,True
268,191.795,18.647,1,35,191.795,17.581,1,33,False,False,True,True,False,False,True,True,False,False,False,False
